Usia,Pekerjaan,Performa,Kamera,Storage,Baterai,Ergonomi,Label
Dewasa,Bekerja,Sedang,Tinggi,Tinggi,Tinggi,Sedang,Produktivitas
Remaja,Pelajar,Rendah,Sedang,Sedang,Rendah,Tinggi,Ekonomis
Dewasa,Bekerja,Tinggi,Rendah,Sedang,Tinggi,Tinggi,Gaming
Dewasa,Bekerja,Sedang,Tinggi,Tinggi,Sedang,Sedang,Produktivitas
Dewasa,Bekerja,Tinggi,Sedang,Tinggi,Sedang,Tinggi,Gaming
Remaja,Pelajar,Sedang,Tinggi,Tinggi,Sedang,Rendah,Ekonomis
Dewasa,Bekerja,Tinggi,Rendah,Sedang,Tinggi,Tinggi,Gaming
Remaja,Pelajar,Tinggi,Sedang,Sedang,Tinggi,Tinggi,Ekonomis
Dewasa,Tidak_Bekerja,Rendah,Rendah,Rendah,Sedang,Rendah,Ekonomis
Remaja,Pelajar,Rendah,Rendah,Sedang,Sedang,Tinggi,Ekonomis
Remaja,Pelajar,Rendah,Tinggi,Tinggi,Rendah,Sedang,Ekonomis
Remaja,Pelajar,Sedang,Tinggi,Tinggi,Sedang,Sedang,Produktivitas
Dewasa,Bekerja,Rendah,Sedang,Rendah,Sedang,Rendah,Ekonomis
Dewasa,Bekerja,Rendah,Tinggi,Sedang,Rendah,Tinggi,Ekonomis
Lansia,Tidak_Bekerja,Rendah,Rendah,Rendah,Rendah,Rendah,Ekonomis
Dewasa,Bekerja,Rendah,Rendah,Sedang,Rendah,Sedang,Ekonomis
Remaja,Tidak_Bekerja,Sedang,Rendah,Tinggi,Sedang,Sedang,Ekonomis
Dewasa,Bekerja,Rendah,Rendah,Sedang,Rendah,Rendah,Ekonomis
Remaja,Pelajar,Rendah,Rendah,Rendah,Sedang,Sedang,Ekonomis
Remaja,Pelajar,Tinggi,Rendah,Sedang,Tinggi,Tinggi,Gaming
Dewasa,Bekerja,Sedang,Sedang,Tinggi,Tinggi,Sedang,Produktivitas
Remaja,Pelajar,Sedang,Rendah,Sedang,Sedang,Rendah,Ekonomis
Dewasa,Pelajar,Tinggi,Rendah,Sedang,Sedang,Sedang,Gaming
Dewasa,Bekerja,Tinggi,Sedang,Sedang,Tinggi,Tinggi,Gaming
Remaja,Pelajar,Sedang,Sedang,Sedang,Tinggi,Sedang,Produktivitas
Remaja,Bekerja,Rendah,Sedang,Sedang,Sedang,Rendah,Produktivitas
Remaja,Pelajar,Tinggi,Rendah,Sedang,Tinggi,Tinggi,Gaming
Remaja,Pelajar,Rendah,Rendah,Sedang,Rendah,Rendah,Ekonomis
Remaja,Pelajar,Rendah,Rendah,Rendah,Sedang,Rendah,Ekonomis
Dewasa,Bekerja,Sedang,Tinggi,Tinggi,Tinggi,Sedang,Produktivitas
Dewasa,Bekerja,Sedang,Sedang,Tinggi,Tinggi,Sedang,Produktivitas
Dewasa,Bekerja,Tinggi,Sedang,Tinggi,Tinggi,Sedang,Produktivitas
Dewasa,Bekerja,Sedang,Tinggi,Sedang,Tinggi,Sedang,Produktivitas
Dewasa,Bekerja,Tinggi,Tinggi,Sedang,Rendah,Sedang,Produktivitas
Remaja,Bekerja,Tinggi,Sedang,Tinggi,Tinggi,Sedang,Produktivitas
Lansia,Bekerja,Sedang,Rendah,Rendah,Sedang,Rendah,Ekonomis
Dewasa,Bekerja,Rendah,Sedang,Sedang,Tinggi,Sedang,Produktivitas
Remaja,Pelajar,Sedang,Rendah,Sedang,Rendah,Tinggi,Ekonomis
Dewasa,Bekerja,Tinggi,Sedang,Sedang,Tinggi,Tinggi,Gaming
Remaja,Bekerja,Sedang,Sedang,Sedang,Rendah,Tinggi,Ekonomis
Lansia,Bekerja,Rendah,Tinggi,Tinggi,Tinggi,Sedang,Produktivitas
Dewasa,Bekerja,Tinggi,Rendah,Tinggi,Rendah,Sedang,Gaming
Dewasa,Bekerja,Rendah,Tinggi,Sedang,Tinggi,Sedang,Ekonomis
Lansia,Bekerja,Rendah,Sedang,Rendah,Sedang,Rendah,Ekonomis
Lansia,Bekerja,Sedang,Rendah,Sedang,Tinggi,Rendah,Ekonomis
Remaja,Pelajar,Sedang,Rendah,Rendah,Sedang,Sedang,Ekonomis
Lansia,Bekerja,Rendah,Tinggi,Sedang,Tinggi,Sedang,Produktivitas
Dewasa,Bekerja,Sedang,Rendah,Rendah,Sedang,Rendah,Ekonomis
Dewasa,Bekerja,Sedang,Tinggi,Tinggi,Tinggi,Sedang,Produktivitas
Dewasa,Bekerja,Tinggi,Rendah,Sedang,Tinggi,Tinggi,Gaming
Remaja,Pelajar,Rendah,Sedang,Rendah,Sedang,Rendah,Ekonomis
Dewasa,Pelajar,Rendah,Rendah,Sedang,Sedang,Rendah,Ekonomis
Remaja,Pelajar,Tinggi,Rendah,Sedang,Sedang,Rendah,Ekonomis
Dewasa,Bekerja,Tinggi,Rendah,Sedang,Tinggi,Tinggi,Gaming
Remaja,Pelajar,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Ekonomis
Dewasa,Bekerja,Rendah,Rendah,Sedang,Tinggi,Sedang,Gaming
Dewasa,Bekerja,Rendah,Rendah,Rendah,Rendah,Rendah,Ekonomis
Dewasa,Bekerja,Sedang,Tinggi,Tinggi,Tinggi,Sedang,Produktivitas
Dewasa,Bekerja,Rendah,Rendah,Sedang,Tinggi,Rendah,Produktivitas
Lansia,Bekerja,Tinggi,Rendah,Rendah,Rendah,Sedang,Ekonomis
Remaja,Pelajar,Tinggi,Sedang,Sedang,Tinggi,Tinggi,Gaming
Dewasa,Bekerja,Tinggi,Tinggi,Tinggi,Tinggi,Sedang,Produktivitas
Lansia,Bekerja,Sedang,Tinggi,Sedang,Tinggi,Rendah,Gaming
Dewasa,Tidak_Bekerja,Rendah,Tinggi,Rendah,Sedang,Rendah,Produktivitas
Dewasa,Bekerja,Sedang,Sedang,Tinggi,Tinggi,Sedang,Produktivitas
Dewasa,Bekerja,Tinggi,Sedang,Rendah,Sedang,Rendah,Ekonomis
Dewasa,Bekerja,Tinggi,Rendah,Sedang,Tinggi,Tinggi,Gaming
Dewasa,Pelajar,Sedang,Tinggi,Sedang,Tinggi,Sedang,Produktivitas
Dewasa,Pelajar,Tinggi,Tinggi,Sedang,Sedang,Tinggi,Gaming
